City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Moerewa,NZ,61.34,broken clouds,-35.3833,174.0333,Hunter Star Hotel
97,Buala,SB,83.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
99,Yellowknife,CA,63.79,overcast clouds,62.456,-114.3525,The Explorer Hotel
100,Mpanda,TZ,63.59,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
103,Hammerfest,NO,52.25,drizzle,70.6634,23.6821,Skytterhuset
104,Chapais,CA,65.98,light rain,49.7834,-74.8492,Hôtel Opémiska
106,Sitka,US,57.09,broken clouds,57.0531,-135.33,Westmark Sitka
107,Hasaki,JP,84.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Katsuura,JP,82.42,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
109,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
113,Hailar,CN,73.51,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
115,Aleksandrov Gay,RU,65.66,scattered clouds,50.147,48.5704,Gostinitsa
116,Nouadhibou,MR,69.35,few clouds,20.931,-17.0347,El Medina
118,Misratah,LY,79.99,clear sky,32.3754,15.0925,Almasa Hotel
119,Encruzilhada Do Sul,BR,62.11,overcast clouds,-30.5439,-52.5219,Conceição Palace Hotel
120,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
121,Dwarka,IN,82.54,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
123,Cape Town,ZA,58.37,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
124,Andenes,NO,53.58,light rain,69.3143,16.1194,Hotell Marena
125,Barrow,US,46.42,few clouds,71.2906,-156.7887,King Eider Inn
126,Ribeira Grande,PT,73.45,broken clouds,38.5167,-28.7,Quinta da Meia Eira
128,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
129,Karoi,ZW,54.36,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
130,Bambous Virieux,MU,69.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
131,Castro,BR,59.68,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
132,Pacific Grove,US,82.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
133,Berlevag,NO,60.6,light rain,70.8578,29.0864,Kvitbrakka
134,Talnakh,RU,56.21,few clouds,69.4865,88.3972,Talnakh Hotel
135,Riyadh,SA,93.34,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
137,Cap Malheureux,MU,69.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
138,Lethem,GY,77.25,overcast clouds,3.3803,-59.7968,Savannah Inn
139,High Level,CA,53.71,heavy intensity rain,58.5169,-117.136,Days Inn by Wyndham High Level
140,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
141,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
143,Gravdal,NO,53.42,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
144,Khorramshahr,IR,91.35,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
145,Edendale,ZA,55.85,overcast clouds,-29.6528,30.3147,Bed and Breakfast at the White House
146,Burdur,TR,66.9,clear sky,37.7203,30.2908,Özeren Grand Hotel & Spa
147,Portobelo,PA,79.74,overcast clouds,9.55,-79.65,Scuba Portobelo
148,Whitehorse,CA,64.31,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
149,College,US,66.2,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
150,Simojovel,MX,75.87,overcast clouds,17.1391,-92.7103,Hotel Flor de Maria
151,Salta,AR,62.58,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
152,Visby,SE,70.02,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
154,Codrington,AU,48.58,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
155,Severo-Kurilsk,RU,53.83,heavy intensity rain,50.6789,156.125,Kak Doma
156,Port Elizabeth,ZA,50.31,few clouds,-33.918,25.5701,39 On Nile Guest House
157,Bredasdorp,ZA,47.19,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
158,San Patricio,US,94.17,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Alta Floresta,BR,76.75,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
162,Carballo,ES,67.42,overcast clouds,43.213,-8.691,Pazo do Souto
163,Itaituba,BR,78.87,broken clouds,-4.2761,-55.9836,Hotel Campos
165,Mar Del Plata,AR,51.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
166,Bordighera,IT,81.55,clear sky,43.7806,7.6645,Hotel Villa Elisa & Spa
167,Ayorou,NE,91.26,broken clouds,14.7308,0.9174,Hotel Amenokal
169,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
170,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
